filecode,wave,variable_name,canonical_name,variable_label,harmonized_var_label,conflicts
z992,B,zpc_i9,zpc_i9,"primary cause of death, ICD9-classification (< 1996)","primary cause of death, ICD9-classification (< 1996)",Integrated cross-wave file with invariant columns; B is used as the conservative real-row wave assignment.
z992,B,zs1_i9,zs1_i9,"first secondary cause of death, ICD9-classification (< 1996)","first secondary cause of death, ICD9-classification (< 1996)",Integrated cross-wave file with invariant columns; B is used as the conservative real-row wave assignment.
z992,B,zs2_i9,zs2_i9,"second secondary cause of death, ICD9-classification (< 1996)","second secondary cause of death, ICD9-classification (< 1996)",Integrated cross-wave file with invariant columns; B is used as the conservative real-row wave assignment.
z992,B,zs3_i9,zs3_i9,"third secondary cause of death, ICD9-classification (< 1996)","third secondary cause of death, ICD9-classification (< 1996)",Integrated cross-wave file with invariant columns; B is used as the conservative real-row wave assignment.
z992,B,zpc_i9c,zpc_i9c,"primary cause of death, ICD9-chapter (< 1996)","primary cause of death, ICD9-chapter (< 1996)",Integrated cross-wave file with invariant columns; B is used as the conservative real-row wave assignment.
z992,B,zs1_i9c,zs1_i9c,"first secondary cause of death, ICD9-chapter (< 1996)","first secondary cause of death, ICD9-chapter (< 1996)",Integrated cross-wave file with invariant columns; B is used as the conservative real-row wave assignment.
z992,B,zs2_i9c,zs2_i9c,"second secondary cause of death, ICD9-chapter (< 1996)","second secondary cause of death, ICD9-chapter (< 1996)",Integrated cross-wave file with invariant columns; B is used as the conservative real-row wave assignment.
z992,B,zs3_i9c,zs3_i9c,"third secondary cause of death, ICD9-chapter (< 1996)","third secondary cause of death, ICD9-chapter (< 1996)",Integrated cross-wave file with invariant columns; B is used as the conservative real-row wave assignment.
z992,B,zpc_i10,zpc_i10,"primary cause of death, ICD10-classification (>= 1996)","primary cause of death, ICD10-classification (>= 1996)",Integrated cross-wave file with invariant columns; B is used as the conservative real-row wave assignment.
z992,B,zpc_i10c,zpc_i10c,"primary cause of death, ICD10-chapter (>= 1996)","primary cause of death, ICD10-chapter (>= 1996)",Integrated cross-wave file with invariant columns; B is used as the conservative real-row wave assignment.
z992,B,zs1_i10,zs1_i10,"first secondary cause of death, ICD10-classification (>= 1996)","first secondary cause of death, ICD10-classification (>= 1996)",Integrated cross-wave file with invariant columns; B is used as the conservative real-row wave assignment.
z992,B,zs1_i10c,zs1_i10c,"first secondary cause of death, ICD10-chapter (>= 1996)","first secondary cause of death, ICD10-chapter (>= 1996)",Integrated cross-wave file with invariant columns; B is used as the conservative real-row wave assignment.
z992,B,zs2_i10,zs2_i10,"second secondary cause of death, ICD10-classification (>= 1996)","second secondary cause of death, ICD10-classification (>= 1996)",Integrated cross-wave file with invariant columns; B is used as the conservative real-row wave assignment.
z992,B,zs2_i10c,zs2_i10c,"second secondary cause of death, ICD10-chapter (>= 1996)","second secondary cause of death, ICD10-chapter (>= 1996)",Integrated cross-wave file with invariant columns; B is used as the conservative real-row wave assignment.
z992,B,zs3_i10,zs3_i10,"third secondary cause of death, ICD10-classification (>= 1996)","third secondary cause of death, ICD10-classification (>= 1996)",Integrated cross-wave file with invariant columns; B is used as the conservative real-row wave assignment.
z992,B,zs3_i10c,zs3_i10c,"third secondary cause of death, ICD10-chapter (>= 1996)","third secondary cause of death, ICD10-chapter (>= 1996)",Integrated cross-wave file with invariant columns; B is used as the conservative real-row wave assignment.
z992,B,zecdmi_i10,zecdmi_i10,"external cause of death: main injury, ICD10-classification (>= 2013)","external cause of death: main injury, ICD10-classification (>= 2013)",Integrated cross-wave file with invariant columns; B is used as the conservative real-row wave assignment.
z992,B,zecdl_i10,zecdl_i10,"external cause of death: location, ICD10-classification (>= 2013)","external cause of death: location, ICD10-classification (>= 2013)",Integrated cross-wave file with invariant columns; B is used as the conservative real-row wave assignment.
